Log_ID,User_ID,Action,Lead_ID,Timestamp,Details
log_1776830738135,678d148276d3aaae6b16a888,CSV_IMPORT,,4/22/2026 9:35:38,Imported 10 leads
log_1776832247430,678d148276d3aaae6b16a888,CSV_IMPORT,,4/22/2026 10:00:47,Imported 10 leads
log_1776833417333,system,EMAIL_CHECK,,4/22/2026 10:20:17,Processed 0 email responses
log_1776834244890,678d148276d3aaae6b16a888,CSV_IMPORT,,4/22/2026 10:34:05,Imported 10 leads
log_1776836773345,user_moh4e53mb,CSV_IMPORT,,4/22/2026 11:16:13,Imported 10 leads
log_1776836918719,user_moh4e53mb,EMAIL_QUEUED,,4/22/2026 11:18:39,Queued email to 
log_1776836919596,user_moh4e53mb,STATUS_UPDATE,,4/22/2026 11:18:40,Lead lead_1776836764622_9 → interested
log_1776837003245,system,EMAIL_CHECK,,4/22/2026 11:20:03,Processed 0 email responses
log_1776837076017,user_moh4e53mb,EMAIL_QUEUED,,4/22/2026 11:21:16,Queued email to 
log_1776837076578,user_moh4e53mb,STATUS_UPDATE,,4/22/2026 11:21:17,Lead lead_1776836764622_9 → interested
